headline|link|description|source|type
Cabinet approves law to digitise services sector|https://www.dawn.com/news/1839337/cabinet-approves-law-to-digitise-services-sector|PM Shehbaz asks law ministry to review Act to establish the National Digital Commission and Pakistan Digital Authority|The Newspaper's Staff Reporter|tech
Prince Rahim opens software park in Hunza|https://www.dawn.com/news/1838738/prince-rahim-opens-software-park-in-hunza|The park aims to provide uninterrupted power supply, high-speed internet, and a co-working space designed for startups, freelancers|Jamil Nagri|tech
China’s probe moves moon samples to spacecraft|https://www.dawn.com/news/1838340/chinas-probe-moves-moon-samples-to-spacecraft|If successful, China will be the first country to ever return lunar matter from the far side of the moon|Reuters|tech
Boeing’s Starliner safely docks with space station|https://www.dawn.com/news/1838338/boeings-starliner-safely-docks-with-space-station|The rendezvous was achieved despite an earlier loss of several guidance-control jet thrusters|Reuters|tech
Japan lawmakers probe UFO security ‘threat’|https://www.dawn.com/news/1838148/japan-lawmakers-probe-ufo-security-threat|"""Extremely irresponsible of us ["|AFP|tech
Former Meta employee fired for ‘fixing suppression of pro-Palestine content’|https://images.dawn.com/news/1192495/former-meta-employee-fired-for-fixing-suppression-of-pro-palestine-content|The engineer alleged the company fired him for working on Motaz Azaiza's account despite knowing him personally when, in fact, he had no connection to him|Reuters|tech
It’s third time lucky for Boeing’s Starliner|https://www.dawn.com/news/1838088/its-third-time-lucky-for-boeings-starliner|Two astronauts are bound for the International Space Station|AFP|tech
Chinese probe lifts off from moon’s far side|https://www.dawn.com/news/1837881/chinese-probe-lifts-off-from-moons-far-side|The probe's successful departure means China is one step closer to becoming the first country to return samples from the moon's far side|Reuters|tech
Cyber attack hits hospitals in London|https://www.dawn.com/news/1837880/cyber-attack-hits-hospitals-in-london|The system was the victim of a ransomware attack, according to senior sources|Agencies|tech
'Why use Netflix Pakistan when you can VPN to the US?'|https://www.dawn.com/news/1232711/why-use-netflix-pakistan-when-you-can-vpn-to-the-us|To successfully capture the market in Pakistan, Netflix will need patience and deep pockets|Khizr I. Tajammul|tech
452 links of Netflix movie blocked: PTA|https://www.dawn.com/news/1603880/452-links-of-netflix-movie-blocked-pta|IHC hears petition filed against blasphemous contents of movie|Malik Asad|tech
AI providing new tools to threat actors for attacks, says cybersecurity firm|https://www.dawn.com/news/1827209/ai-providing-new-tools-to-threat-actors-for-attacks-says-cybersecurity-firm|Cybersecurity giant Kaspersky warns of threats to corporations, individual users, says deepfake tools, services readily available for fraud, theft|Dawn.com|tech
Apple unveils iPhone 15 Pro with titanium case, holds line on prices|https://www.dawn.com/news/1775642/apple-unveils-iphone-15-pro-with-titanium-case-holds-line-on-prices|Apple says USB-C charging cables are coming to both its iPhone 15 and the charging case of its AirPods Pro devices|Reuters|tech
Artificial intelligence can run world ‘better than humans’|https://www.dawn.com/news/1763612/artificial-intelligence-can-run-world-better-than-humans|"Humanoid robots tell UN summit they’re free of biases, emotions that ""cloud decision-making"""|AFP|tech
Artificial intelligence’s current ability, future prospects discussed|https://www.dawn.com/news/1397168/artificial-intelligences-current-ability-future-prospects-discussed|‘Real-world application of robots has people worried about losing their jobs’|Shazia Hasan|tech
Augmented reality startup InterApp raises $1.2m in pre-seed round|https://www.dawn.com/news/1703232/augmented-reality-startup-interapp-raises-12m-in-pre-seed-round|Ed-tech startup OrbitEd raises $500,000 in pre-seed round; CaterpillHERs partners with Upwork for freelancing coaching|Mutaher Khan|tech
Bykea launches BykeaCar service to cater diverse audiences|https://www.dawn.com/news/1707391/bykea-launches-bykeacar-service-to-cater-diverse-audiences|The new service has been launched in Islamabad and Karachi in the first phase|Mutaher Khan|tech
